Category,Roadmap_Strength,Social_Media_Sentiment,Whitelist_Count,Marketing_Strategies,Success
3D,4,-0.8497244365283825,3232,Influencer Marketing,1
Virtual Land,10,0.4563775124072067,4783,Influencer Marketing,0
Privilege,8,-0.009017367587603076,2632,"Twitter Ads, Paid Ads",1
Performance,1,0.3768047928554721,3828,"Email Marketing, Partnerships, Paid Ads",1
Performance,10,-0.13034532279250755,3230,Influencer Marketing,1
Graphics,1,-0.5071959335217864,488,"Airdrops, Twitter Ads, Influencer Marketing",1
PFP,4,0.6382046353483994,1347,Paid Ads,0
Virtual Land,8,0.5988317579379585,3681,"Discord Engagement, Twitter Ads, Partnerships",0
P2E,5,0.3893929417088535,3173,"Partnerships, Airdrops",1
Gaming,2,-0.4557097255400746,4589,Discord Engagement,0
Music,6,0.1804613337381742,1667,Twitter Ads,1
Virtual Land,5,-0.2780522061199464,1637,"Partnerships, Influencer Marketing",1
PFP,2,-0.8168358533467317,4114,"Email Marketing, Twitter Ads, Influencer Marketing",0
Performance,3,0.8346271509244856,3553,"Influencer Marketing, Twitter Ads, Discord Engagement",1
2D,9,-0.7263627381620772,1000,Influencer Marketing,0
Gaming,7,0.9004747076416049,850,Discord Engagement,1
PFP,7,-0.10798845408408853,1388,Discord Engagement,1
Virtual Land,6,-0.6297341423227607,3712,Influencer Marketing,1
Collectibles,8,0.08380189475671629,1367,"Partnerships, Twitter Ads",1
Graphics,4,0.7458916717528166,821,"Influencer Marketing, Airdrops",1
PFP,8,0.46444977281912236,454,"Twitter Ads, Airdrops, Paid Ads",1
Photography,4,0.6131222957228994,1624,"Airdrops, Email Marketing, Paid Ads",1
Image,8,0.3175667334214347,2772,Partnerships,0
Image,9,0.38455312903570493,3726,"Twitter Ads, Email Marketing, Discord Engagement",0
2D,3,0.6983913031306386,3147,"Discord Engagement, Airdrops, Paid Ads",0
Virtual Land,3,-0.5006639822816281,4089,Partnerships,0
Art,2,-0.021150072713719048,4806,Airdrops,1
Art,10,-0.5575811163607955,2190,"Influencer Marketing, Email Marketing",1
PFP,3,0.975336015993294,916,"Twitter Ads, Discord Engagement, Email Marketing",1
Privilege,3,0.8881186793732265,3986,"Twitter Ads, Discord Engagement, Partnerships",0
Metaverse,5,-0.9211463772629882,2875,"Paid Ads, Email Marketing, Partnerships",1
Virtual Land,5,0.41115034503137693,1440,Airdrops,0
Photography,2,0.8504966348313316,4400,"Influencer Marketing, Partnerships, Airdrops",1
Digital,10,-0.6388493097453329,735,"Discord Engagement, Partnerships, Email Marketing",1
Privilege,6,0.13589046110525893,3568,Partnerships,0
Music,5,0.8309765951760837,3338,Partnerships,0
Art,6,-0.9321080428284023,3015,"Influencer Marketing, Airdrops",0
Graphics,1,0.39484053449367984,2889,"Paid Ads, Discord Engagement",1
Image,5,-0.40530198525489847,961,"Influencer Marketing, Email Marketing",1
Performance,9,0.8487923907530608,2989,"Influencer Marketing, Airdrops",1
Privilege,10,0.9421164903307355,3848,"Airdrops, Influencer Marketing",0
P2E,2,0.8885329782268678,1026,"Paid Ads, Discord Engagement, Partnerships",1
P2E,1,-0.051571566685072456,3865,"Twitter Ads, Email Marketing",1
Image,10,0.7240853019786269,2863,Partnerships,1
Virtual Land,9,0.6890987970701408,2501,Email Marketing,0
Collectibles,10,-0.36179905351348873,1947,"Influencer Marketing, Twitter Ads",0
Metaverse,9,0.6578309483013547,1177,"Influencer Marketing, Airdrops",1
P2E,9,-0.9259847305690148,4760,"Discord Engagement, Airdrops, Email Marketing",0
Music,6,0.19253975696410608,11,Influencer Marketing,0
P2E,8,-0.5399823254245939,4399,"Influencer Marketing, Email Marketing, Paid Ads",0
P2E,1,-0.7588662284454424,3364,"Influencer Marketing, Partnerships",1
P2E,10,-0.8460935967415817,3022,"Partnerships, Discord Engagement",1
Collectibles,4,0.3925775517562795,3371,Twitter Ads,1
Collectibles,1,-0.3202500724638677,2830,"Discord Engagement, Airdrops, Email Marketing",1
Music,8,0.4495335430575229,42,"Paid Ads, Airdrops, Twitter Ads",1
Art,1,-0.8692873184021153,943,Partnerships,0
Art,3,-0.36941932433877933,2390,"Partnerships, Paid Ads",1
Collectibles,4,0.07898258475067443,2545,"Email Marketing, Partnerships, Paid Ads",0
Image,8,0.5814463296779271,2411,"Influencer Marketing, Partnerships, Airdrops",1
Photography,6,-0.36249499413586017,4986,"Paid Ads, Discord Engagement",0
Gaming,10,0.2517827528740182,1004,"Influencer Marketing, Airdrops, Email Marketing",0
2D,7,0.7719554964723743,20,Influencer Marketing,0
P2E,8,0.23172637636460913,406,"Discord Engagement, Influencer Marketing",0
Photography,2,-0.5340810504927325,1014,Discord Engagement,0
Music,10,-0.951198436886924,4431,"Twitter Ads, Airdrops",0
Collectibles,8,0.7401977478018598,1838,"Paid Ads, Discord Engagement, Influencer Marketing",1
Photography,3,-0.9574611782992257,3188,"Influencer Marketing, Partnerships",1
2D,7,0.7494033453683988,714,Twitter Ads,1
Drawing,3,0.05787426805442397,4146,Partnerships,1
Drawing,7,0.8781353970257924,3854,"Paid Ads, Partnerships, Twitter Ads",1
Art,2,0.5975664715473308,4419,"Email Marketing, Influencer Marketing, Partnerships",1
Privilege,10,0.9958682210666749,4884,"Airdrops, Discord Engagement",1
Photography,6,-0.2985763690965797,140,"Paid Ads, Twitter Ads",0
Drawing,3,0.5343765778622538,4565,"Email Marketing, Airdrops",0
Metaverse,3,-0.19613817278151569,4882,"Discord Engagement, Partnerships",1
Gaming,9,-0.04024875939218231,963,Twitter Ads,1
Metaverse,7,0.25501092643674017,372,Influencer Marketing,1
Virtual Land,5,0.7473542283726775,3635,"Email Marketing, Twitter Ads",0
Privilege,10,0.9681669383985902,2541,"Twitter Ads, Partnerships",0
Art,7,0.5365468277290364,3610,"Influencer Marketing, Partnerships, Twitter Ads",1
Digital,9,-0.16446643566533248,1692,"Twitter Ads, Airdrops",0
Virtual Land,1,-0.15728599544585964,105,"Influencer Marketing, Email Marketing, Partnerships",1
Digital,7,0.475164603177783,1681,Airdrops,1
Art,6,-0.5224457084633953,4097,Twitter Ads,1
2D,10,-0.7790517737372107,4016,Influencer Marketing,1
Graphics,9,-0.2907556847184469,2636,"Email Marketing, Paid Ads, Partnerships",1
Metaverse,1,-0.42552201669183654,2137,"Discord Engagement, Paid Ads, Email Marketing",1
Virtual Land,4,-0.4073837590880198,3416,Email Marketing,1
Drawing,9,-0.5327844979001801,4445,"Paid Ads, Discord Engagement, Airdrops",1
Drawing,4,-0.9158136207272762,3530,Influencer Marketing,0
P2E,10,-0.9642521305331724,1286,"Paid Ads, Influencer Marketing",0
Collectibles,3,0.9754447794720631,3179,Email Marketing,0
Art,9,-0.1444537325282753,3654,Partnerships,1
Drawing,2,-0.23134670568063664,2359,"Twitter Ads, Email Marketing, Discord Engagement",1
Image,4,0.3592945653861397,444,"Partnerships, Discord Engagement, Twitter Ads",1
Music,6,-0.5634922242698717,35,"Influencer Marketing, Email Marketing",0
Music,2,0.8999223679004507,1475,"Paid Ads, Email Marketing",0
Privilege,8,0.5726900288311041,3957,Twitter Ads,1
Privilege,8,-0.821177995375481,1798,"Discord Engagement, Paid Ads, Influencer Marketing",0
Metaverse,1,-0.16483844843014328,1845,"Twitter Ads, Airdrops",1
Drawing,3,0.7582366151243294,1408,Partnerships,1
Drawing,10,0.8894640445828206,1708,"Partnerships, Email Marketing, Influencer Marketing",1
Metaverse,9,-0.06519697750026054,2938,Email Marketing,0
Art,5,0.2268227784214154,1300,Partnerships,0
2D,6,-0.6659321078158495,1243,"Airdrops, Paid Ads, Discord Engagement",0
P2E,4,0.9823372522739531,3976,Paid Ads,1
Digital,10,-0.5366565972331132,3097,"Email Marketing, Partnerships",1
Gaming,2,0.8854635482702513,4616,Email Marketing,0
Photography,8,0.2992932979847369,9,Email Marketing,1
Digital,6,0.21547358975771824,2425,"Email Marketing, Twitter Ads, Discord Engagement",1
Metaverse,5,0.02537702203301717,1660,Airdrops,0
Drawing,9,-0.5386603765644826,2631,Email Marketing,1
Metaverse,1,-0.6469439359889835,4815,"Email Marketing, Discord Engagement",1
3D,5,-0.5590275818596493,1072,Partnerships,0
Collectibles,6,-0.627123475711491,3225,"Airdrops, Influencer Marketing, Email Marketing",0
Metaverse,5,0.5591689471335066,4954,"Partnerships, Discord Engagement, Influencer Marketing",1
Drawing,6,-0.2997494816665398,1316,"Partnerships, Twitter Ads",1
Privilege,6,-0.8843146468732073,4145,Paid Ads,1
Gaming,7,0.9382052602816227,3683,"Paid Ads, Discord Engagement",1
Art,4,0.7675717699268514,3273,Airdrops,1
Gaming,8,0.8555045663904259,145,"Discord Engagement, Twitter Ads",0
Art,7,0.9898156452928706,3040,"Influencer Marketing, Paid Ads",1
3D,9,-0.6522095015610254,1462,Discord Engagement,1
Drawing,7,-0.2075159621946825,4676,"Paid Ads, Influencer Marketing",0
Digital,3,0.5164769514081826,1584,"Partnerships, Influencer Marketing",1
Virtual Land,3,0.39204123610758446,482,"Airdrops, Twitter Ads, Discord Engagement",1
Metaverse,8,-0.6922081873202899,3179,"Discord Engagement, Email Marketing, Airdrops",0
P2E,5,0.6316662499812356,1249,"Discord Engagement, Paid Ads, Airdrops",1
Art,4,-0.5511188563266787,4768,"Influencer Marketing, Partnerships",0
Drawing,8,-0.5523647703547538,630,"Paid Ads, Twitter Ads, Airdrops",0
Image,6,0.07394884578682714,661,"Twitter Ads, Airdrops",0
3D,2,0.1858798696834063,3503,"Twitter Ads, Airdrops, Email Marketing",1
Photography,4,0.16017241567562235,2852,"Influencer Marketing, Paid Ads, Discord Engagement",1
Photography,4,-0.8170263252044903,2466,Paid Ads,0
PFP,6,0.7549217252607607,987,"Email Marketing, Partnerships, Discord Engagement",1
Digital,6,-0.46879991482258787,1546,"Email Marketing, Influencer Marketing, Paid Ads",0
Collectibles,1,-0.7409701574343917,649,"Partnerships, Email Marketing, Discord Engagement",1
Art,8,0.7774961597379544,968,"Influencer Marketing, Twitter Ads",1
Performance,6,0.9113029964595067,2637,"Paid Ads, Twitter Ads",1
Art,3,0.7242552345309012,1100,Partnerships,1
Music,9,0.6190321494497562,440,Discord Engagement,0
Drawing,2,0.31048396127804345,769,Email Marketing,0
Gaming,8,0.10171474121827861,1343,"Paid Ads, Airdrops, Email Marketing",1
Metaverse,10,-0.8260264801771797,4358,Paid Ads,1
P2E,3,-0.1830935738586026,3729,"Partnerships, Twitter Ads, Airdrops",0
P2E,5,-0.25462296597537204,3906,Partnerships,0
Image,6,-0.4804924324793476,1577,"Influencer Marketing, Discord Engagement",0
3D,10,0.4468402273771699,4008,"Twitter Ads, Email Marketing, Airdrops",1
Photography,6,-0.008248529842458385,3351,"Partnerships, Email Marketing",0
Metaverse,4,-0.8379075681847041,4795,Paid Ads,1
Privilege,3,-0.5596335961003773,2349,"Discord Engagement, Twitter Ads",1
Music,4,0.36651752731919185,3602,Discord Engagement,1
P2E,1,-0.8477382810193996,1241,"Twitter Ads, Airdrops, Influencer Marketing",0
3D,4,0.7024138280975374,1125,"Paid Ads, Influencer Marketing, Twitter Ads",1
Metaverse,1,-0.00970694597205135,2601,"Influencer Marketing, Discord Engagement",0
Art,1,-0.038826845346704,1190,"Paid Ads, Discord Engagement",1
Art,10,0.1848155693190352,4131,"Twitter Ads, Influencer Marketing, Airdrops",1
Metaverse,6,0.6493619318502983,4839,"Airdrops, Partnerships, Twitter Ads",0
Graphics,5,-0.3043815841956139,4448,"Partnerships, Discord Engagement, Influencer Marketing",1
Metaverse,4,0.3560323051181271,72,Influencer Marketing,1
Digital,3,0.13146392799158213,1914,Influencer Marketing,1
3D,1,-0.46594345966115736,2472,"Partnerships, Paid Ads, Influencer Marketing",0
Performance,6,0.757259972710316,3046,"Partnerships, Influencer Marketing, Discord Engagement",1
Collectibles,2,0.5948520432138562,707,"Twitter Ads, Discord Engagement, Influencer Marketing",1
Graphics,8,0.316903669316851,1804,Email Marketing,1
Collectibles,10,0.7011634581884838,3713,Influencer Marketing,1
P2E,5,0.7345884019196047,2564,"Email Marketing, Discord Engagement, Partnerships",0
Digital,7,0.4167259534300696,2475,"Paid Ads, Influencer Marketing",1
Art,10,0.6740266567273441,3610,"Discord Engagement, Partnerships",1
Privilege,2,0.3949429233385673,4255,"Email Marketing, Influencer Marketing, Discord Engagement",1
2D,8,0.3602815435206008,2823,"Email Marketing, Discord Engagement, Influencer Marketing",1
Drawing,2,0.2372227564303686,1735,Influencer Marketing,0
Virtual Land,4,0.5054332791152825,1585,"Paid Ads, Influencer Marketing",0
Graphics,1,-0.6827897894138526,66,"Email Marketing, Influencer Marketing",0
Metaverse,5,0.7617415183978569,3061,"Airdrops, Discord Engagement, Email Marketing",0
PFP,9,0.743687055490464,2428,Influencer Marketing,1
Virtual Land,1,-0.9415054339308817,4153,Twitter Ads,0
Gaming,9,0.6516335011295253,341,"Partnerships, Paid Ads",0
PFP,8,-0.7422602650531096,2774,"Discord Engagement, Airdrops",1
Art,6,-0.3297622914817162,2817,Paid Ads,1
Digital,7,0.48701651258321554,2661,Discord Engagement,1
3D,3,-0.6784802079033836,1232,Twitter Ads,1
Drawing,1,0.6359340482381244,3874,"Discord Engagement, Twitter Ads",0
3D,5,0.6642683559154838,2401,"Paid Ads, Email Marketing, Influencer Marketing",1
Image,2,0.014935467521672408,1494,Airdrops,1
Performance,5,-0.9872282565663328,4211,"Discord Engagement, Paid Ads",0
Collectibles,8,-0.42592373365017444,661,"Paid Ads, Influencer Marketing, Twitter Ads",1
Collectibles,9,0.2338538367514844,3883,"Twitter Ads, Airdrops, Discord Engagement",1
P2E,2,0.962372356054847,3619,"Email Marketing, Partnerships",0
Graphics,3,0.26362705403333675,1868,"Partnerships, Paid Ads",0
Photography,3,-0.4803928378716804,2334,Discord Engagement,0
Performance,1,0.2680114061992227,3374,"Airdrops, Discord Engagement, Influencer Marketing",0
2D,8,0.07997075943171095,1016,"Influencer Marketing, Twitter Ads",1
Music,6,0.5596907903022872,4406,Influencer Marketing,1
Art,8,-0.7860387223460832,207,"Email Marketing, Twitter Ads",0
Digital,9,0.522055805004056,2665,"Paid Ads, Discord Engagement",1
Image,5,0.08253315735222055,2493,"Influencer Marketing, Email Marketing",1
Image,3,0.9259840077179893,632,"Influencer Marketing, Email Marketing, Airdrops",1
Music,5,-0.3162556679226278,2102,"Influencer Marketing, Email Marketing",1
Virtual Land,5,0.26524378626789624,2959,"Paid Ads, Airdrops",0
Gaming,5,0.8640562110200349,3083,Twitter Ads,1
Photography,3,-0.7949805440186415,4752,"Airdrops, Discord Engagement, Email Marketing",1
PFP,10,0.8744569744729023,1931,"Paid Ads, Discord Engagement",1
Performance,4,0.3757714446016267,3719,"Influencer Marketing, Airdrops",1
Metaverse,9,-0.8643258817896562,2562,"Partnerships, Email Marketing",0
Digital,10,-0.3980728661063675,1679,"Twitter Ads, Paid Ads, Discord Engagement",1
Drawing,9,0.41634417729056317,236,"Twitter Ads, Influencer Marketing, Email Marketing",0
PFP,2,-0.8652987970624566,4443,Partnerships,1
Graphics,8,0.16434092035254655,4725,"Airdrops, Email Marketing",1
P2E,8,-0.30823388609408653,1540,"Airdrops, Paid Ads",0
Music,7,0.24183103553495422,3943,"Paid Ads, Partnerships, Discord Engagement",1
Privilege,8,-0.9085159323749743,363,"Discord Engagement, Airdrops",0
Image,3,0.7430736123047526,2368,"Paid Ads, Partnerships, Discord Engagement",1
Art,6,0.9469779383547938,285,"Discord Engagement, Twitter Ads",1
Art,1,0.937755710571383,148,Paid Ads,1
Performance,7,0.4993036634858494,4037,Paid Ads,1
Collectibles,1,-0.7398275197387361,4551,"Discord Engagement, Influencer Marketing",1
Drawing,9,0.5165263918580452,1766,Airdrops,1
Digital,1,-0.950826167082397,4895,Email Marketing,1
PFP,1,-0.9557528969420055,1012,Airdrops,1
Art,7,-0.3527795617009175,2831,Discord Engagement,0
Drawing,2,-0.0227136191906685,2507,"Discord Engagement, Partnerships, Influencer Marketing",1
Virtual Land,5,0.5408148356155864,1523,Airdrops,0
Music,8,0.3665907532130104,2785,"Discord Engagement, Influencer Marketing, Email Marketing",1
Metaverse,8,-0.10819458724650333,2556,Airdrops,0
Image,3,-0.45274666743666825,3725,Partnerships,0
Drawing,7,0.9942490003154223,4576,"Partnerships, Airdrops",1
Music,3,-0.1476373955280541,1601,"Airdrops, Paid Ads",1
3D,6,-0.09722595134064904,2408,"Discord Engagement, Twitter Ads, Paid Ads",0
Music,6,-0.6727523576166616,340,"Discord Engagement, Twitter Ads, Email Marketing",0
Performance,3,0.5896190974998587,2817,"Twitter Ads, Discord Engagement, Paid Ads",1
P2E,7,0.3873644515629773,2496,"Influencer Marketing, Twitter Ads, Email Marketing",1
3D,3,-0.5584607744224792,4930,"Twitter Ads, Discord Engagement, Paid Ads",0
Music,8,-0.8352379087683146,1725,"Email Marketing, Discord Engagement, Partnerships",0
Image,10,0.3609986041494262,1689,Influencer Marketing,1
Drawing,4,0.30902242856227047,3267,"Airdrops, Discord Engagement, Influencer Marketing",0
Drawing,1,-0.45348094600358135,4406,Influencer Marketing,1
Virtual Land,4,0.9017271245008207,261,Paid Ads,1
Gaming,7,-0.6978842164381995,1442,Airdrops,1
Art,4,-0.13533039791479617,405,Discord Engagement,0
Music,6,0.8872318403351978,2190,Airdrops,1
Graphics,9,-0.1605453661477554,4437,"Influencer Marketing, Twitter Ads, Paid Ads",1
Music,1,0.2770518953281711,243,Twitter Ads,1
Gaming,5,-0.20481120407441145,4585,Email Marketing,1
Collectibles,7,-0.45156959530265994,4107,"Airdrops, Influencer Marketing",1
Graphics,1,0.9679552959196565,560,"Airdrops, Partnerships, Discord Engagement",1
Art,4,-0.18133198736991396,4137,Twitter Ads,1
Music,6,0.7881984073582688,2725,"Twitter Ads, Partnerships, Email Marketing",1
PFP,2,-0.5400907882178276,593,Paid Ads,1
Gaming,10,-0.5737905919498334,1826,"Influencer Marketing, Paid Ads, Airdrops",1
Drawing,5,-0.9377318342309773,3229,"Email Marketing, Paid Ads",0
Drawing,10,0.3033336507517701,3287,"Paid Ads, Twitter Ads, Airdrops",1
Collectibles,1,-0.2629473125524777,4073,"Partnerships, Twitter Ads",1
P2E,6,0.7287164996792741,133,"Influencer Marketing, Paid Ads, Partnerships",0
Image,6,-0.05358018661688568,3138,"Partnerships, Airdrops",0
Metaverse,4,0.9363868558294435,3919,Airdrops,1
Art,8,-0.6289489685937577,72,"Partnerships, Twitter Ads, Paid Ads",1
Art,4,0.7372463359112216,4494,Discord Engagement,1
2D,8,0.5531937055834835,4225,"Twitter Ads, Airdrops",0
Music,8,0.541843689288104,2978,"Partnerships, Paid Ads, Airdrops",1
Image,5,0.6895664562337753,4361,"Twitter Ads, Partnerships, Airdrops",0
Metaverse,4,0.5220479818859978,1985,Email Marketing,1
Art,2,0.2524406432628308,792,Airdrops,0
Art,3,-0.7375102446352249,4259,"Influencer Marketing, Paid Ads",0
Digital,3,-0.9349476410174962,94,"Discord Engagement, Airdrops, Twitter Ads",0
Graphics,4,0.8416956956313737,1133,"Influencer Marketing, Airdrops",0
2D,4,0.23330062904147608,4917,"Email Marketing, Discord Engagement, Airdrops",0
Image,10,0.5930745819523526,237,"Discord Engagement, Influencer Marketing, Twitter Ads",0
PFP,5,-0.036955296974899854,2946,"Airdrops, Discord Engagement, Email Marketing",1
Image,4,-0.765383622075211,2530,"Email Marketing, Airdrops, Paid Ads",1
3D,10,-0.7496284155948991,1960,"Paid Ads, Email Marketing",0
Collectibles,8,0.37113057445794273,1048,"Paid Ads, Partnerships, Airdrops",1
Metaverse,6,-0.1393882102010746,2529,Paid Ads,0
P2E,6,-0.5989505465993266,2964,"Discord Engagement, Email Marketing, Airdrops",1
Digital,8,-0.016810906517126245,963,Partnerships,0
Graphics,7,-0.8715821258497318,536,Discord Engagement,0
Collectibles,10,0.16394280382879756,4223,"Twitter Ads, Partnerships",1
Privilege,10,-0.46201319112980466,3679,"Discord Engagement, Airdrops",1
Virtual Land,8,0.5951182012743763,4187,"Paid Ads, Email Marketing",1
Gaming,2,-0.37927608215285247,3724,Partnerships,1
PFP,9,-0.08955970183639761,542,"Partnerships, Email Marketing, Influencer Marketing",1
2D,1,-0.9767589201837987,845,"Email Marketing, Twitter Ads",0
Gaming,8,-0.8551062244108822,3603,"Paid Ads, Discord Engagement",0
Gaming,4,-0.21501288718663036,3036,"Airdrops, Paid Ads",0
Graphics,4,-0.040122330565752984,2494,Discord Engagement,0
Music,5,0.20004109623860744,4485,"Airdrops, Paid Ads",1
Privilege,8,-0.41667484258139353,2719,Partnerships,1
